"File name","12000001.CSV","V 1.27"
"Title comment","4-8"
"Trigger Time","'25-12-10 14:12:04"
"Ch","A 1- 1","A 1- 2",
"Mode","Voltage","Voltage",
"Range","2V","2V",
"Comment","EL1-Br+","EL2-ORP",
"Scaling","Off","Off",
"Ratio"," 1.00000E+00"," 1.00000E+00",
"Offset"," 0.00000E+00"," 0.00000E+00",
"Time","1-1[V]","1-2[V]","Event",
 0.000000000E+00,-3.75500E-01,-1.78100E-01,0,
 1.000000000E-01,-3.75400E-01,-1.78100E-01,0,
 2.000000000E-01,-3.75400E-01,-1.78100E-01,0,
 3.000000000E-01,-3.75400E-01,-1.78100E-01,0,
 4.000000000E-01,-3.75400E-01,-1.78100E-01,0,
 5.000000000E-01,-3.75400E-01,-1.78200E-01,0,
 6.000000000E-01,-3.75300E-01,-1.78100E-01,0,
 7.000000000E-01,-3.74900E-01,-1.78100E-01,0,
 8.000000000E-01,-3.74900E-01,-1.78100E-01,0,
 9.000000000E-01,-3.75100E-01,-1.78100E-01,0,
 1.000000000E+00,-3.75100E-01,-1.78100E-01,0,
 1.100000000E+00,-3.75100E-01,-1.78100E-01,0,
 1.200000000E+00,-3.75100E-01,-1.78100E-01,0,
 1.300000000E+00,-3.75000E-01,-1.78000E-01,0,
 1.400000000E+00,-3.75000E-01,-1.78100E-01,0,
 1.500000000E+00,-3.75000E-01,-1.78100E-01,0,
 1.600000000E+00,-3.75000E-01,-1.78100E-01,0,
 1.700000000E+00,-3.75000E-01,-1.78100E-01,0,
 1.800000000E+00,-3.74900E-01,-1.78100E-01,0,
 1.900000000E+00,-3.74800E-01,-1.78100E-01,0,
 2.000000000E+00,-3.74700E-01,-1.78100E-01,0,
 2.100000000E+00,-3.74600E-01,-1.78100E-01,0,
 2.200000000E+00,-3.74600E-01,-1.78100E-01,0,
 2.300000000E+00,-3.74500E-01,-1.78100E-01,0,
 2.400000000E+00,-3.74500E-01,-1.78100E-01,0,
 2.500000000E+00,-3.74500E-01,-1.78100E-01,0,
 2.600000000E+00,-3.74700E-01,-1.78100E-01,0,
 2.700000000E+00,-3.74700E-01,-1.78100E-01,0,
 2.800000000E+00,-3.74700E-01,-1.78100E-01,0,
 2.900000000E+00,-3.74600E-01,-1.78100E-01,0,
 3.000000000E+00,-3.74500E-01,-1.78100E-01,0,
 3.100000000E+00,-3.74500E-01,-1.78100E-01,0,
 3.200000000E+00,-3.74500E-01,-1.78100E-01,0,
 3.300000000E+00,-3.74400E-01,-1.78100E-01,0,
 3.400000000E+00,-3.74400E-01,-1.78100E-01,0,
 3.500000000E+00,-3.74400E-01,-1.78100E-01,0,
 3.600000000E+00,-3.74600E-01,-1.78100E-01,0,
 3.700000000E+00,-3.74600E-01,-1.78100E-01,0,
 3.800000000E+00,-3.74600E-01,-1.78100E-01,0,
 3.900000000E+00,-3.74600E-01,-1.78100E-01,0,
 4.000000000E+00,-3.74600E-01,-1.78100E-01,0,
 4.100000000E+00,-3.74100E-01,-1.78100E-01,0,
 4.200000000E+00,-3.74100E-01,-1.78100E-01,0,
 4.300000000E+00,-3.74100E-01,-1.78100E-01,0,
 4.400000000E+00,-3.74100E-01,-1.78100E-01,0,
 4.500000000E+00,-3.74300E-01,-1.78100E-01,0,
 4.600000000E+00,-3.74200E-01,-1.78100E-01,0,
 4.700000000E+00,-3.74300E-01,-1.78100E-01,0,
 4.800000000E+00,-3.74200E-01,-1.78100E-01,0,
 4.900000000E+00,-3.74200E-01,-1.78200E-01,0,
 5.000000000E+00,-3.74100E-01,-1.78100E-01,0,
 5.100000000E+00,-3.73900E-01,-1.78100E-01,0,
 5.200000000E+00,-3.73900E-01,-1.78200E-01,0,
 5.300000000E+00,-3.74100E-01,-1.78100E-01,0,
 5.400000000E+00,-3.74100E-01,-1.78100E-01,0,
 5.500000000E+00,-3.74100E-01,-1.78100E-01,0,
 5.600000000E+00,-3.74100E-01,-1.78100E-01,0,
 5.700000000E+00,-3.74000E-01,-1.78100E-01,0,
 5.800000000E+00,-3.74000E-01,-1.78100E-01,0,
 5.900000000E+00,-3.73900E-01,-1.78100E-01,0,
 6.000000000E+00,-3.73900E-01,-1.78100E-01,1,
 6.100000000E+00,-3.73800E-01,-1.78100E-01,0,
 6.200000000E+00,-3.73800E-01,-1.78100E-01,0,
 6.300000000E+00,-3.74100E-01,-1.78100E-01,0,
 6.400000000E+00,-3.74100E-01,-1.78100E-01,0,
 6.500000000E+00,-3.74100E-01,-1.78100E-01,0,
 6.600000000E+00,-3.74100E-01,-1.78100E-01,0,
 6.700000000E+00,-3.74000E-01,-1.78100E-01,0,
 6.800000000E+00,-3.74000E-01,-1.78100E-01,0,
 6.900000000E+00,-3.74200E-01,-1.78100E-01,0,
 7.000000000E+00,-3.73900E-01,-1.78100E-01,0,
 7.100000000E+00,-3.74100E-01,-1.78100E-01,0,
 7.200000000E+00,-3.74100E-01,-1.78100E-01,0,
 7.300000000E+00,-3.74000E-01,-1.78100E-01,0,
 7.400000000E+00,-3.74000E-01,-1.78100E-01,0,
 7.500000000E+00,-3.73900E-01,-1.78100E-01,0,
 7.600000000E+00,-3.73900E-01,-1.78100E-01,0,
 7.700000000E+00,-3.73900E-01,-1.78100E-01,0,
 7.800000000E+00,-3.73800E-01,-1.78100E-01,0,
