"File name","WAVE0004.CSV","V 1.27"
"Title comment","4-8"
"Trigger Time","'25-12-10 15:23:04"
"Ch","A 1- 1","A 1- 2",
"Mode","Voltage","Voltage",
"Range","2V","2V",
"Comment","EL1-Br+","EL2-ORP",
"Scaling","Off","Off",
"Ratio"," 1.00000E+00"," 1.00000E+00",
"Offset"," 0.00000E+00"," 0.00000E+00",
"Time","1-1[V]","1-2[V]","Event",
 0.000000000E+00,-3.93200E-01,-1.80800E-01,0,
 1.000000000E-01,-3.94900E-01,-1.80700E-01,0,
 2.000000000E-01,-3.94900E-01,-1.80700E-01,0,
 3.000000000E-01,-3.95000E-01,-1.80700E-01,0,
 4.000000000E-01,-3.95000E-01,-1.80600E-01,0,
 5.000000000E-01,-3.94900E-01,-1.80600E-01,0,
 6.000000000E-01,-3.94900E-01,-1.80600E-01,0,
 7.000000000E-01,-3.95000E-01,-1.80600E-01,0,
 8.000000000E-01,-3.95000E-01,-1.80600E-01,0,
 9.000000000E-01,-3.95100E-01,-1.80500E-01,0,
 1.000000000E+00,-3.95100E-01,-1.80400E-01,0,
 1.100000000E+00,-3.95100E-01,-1.80300E-01,0,
 1.200000000E+00,-3.95200E-01,-1.80300E-01,0,
 1.300000000E+00,-3.95200E-01,-1.80200E-01,0,
 1.400000000E+00,-3.95000E-01,-1.80500E-01,0,
 1.500000000E+00,-3.95100E-01,-1.80400E-01,0,
 1.600000000E+00,-3.95200E-01,-1.80400E-01,0,
 1.700000000E+00,-3.95300E-01,-1.80400E-01,0,
 1.800000000E+00,-3.95300E-01,-1.80300E-01,0,
 1.900000000E+00,-3.95300E-01,-1.80300E-01,0,
 2.000000000E+00,-3.95400E-01,-1.80400E-01,0,
 2.100000000E+00,-3.95600E-01,-1.80400E-01,0,
 2.200000000E+00,-3.95600E-01,-1.80400E-01,0,
 2.300000000E+00,-4.22600E-01,-1.80300E-01,0,
 2.400000000E+00,-4.22700E-01,-1.80400E-01,0,
 2.500000000E+00,-4.22800E-01,-1.80400E-01,0,
 2.600000000E+00,-4.22800E-01,-1.80400E-01,0,
 2.700000000E+00,-4.22700E-01,-1.81400E-01,0,
 2.800000000E+00,-4.22700E-01,-1.81300E-01,0,
 2.900000000E+00,-4.22700E-01,-1.81300E-01,0,
 3.000000000E+00,-4.22700E-01,-1.81400E-01,0,
 3.100000000E+00,-4.22700E-01,-1.81400E-01,0,
 3.200000000E+00,-4.22800E-01,-1.81400E-01,0,
 3.300000000E+00,-4.22700E-01,-1.81300E-01,0,
 3.400000000E+00,-5.31000E-01,-1.81400E-01,0,
 3.500000000E+00,-5.31100E-01,-1.81400E-01,0,
 3.600000000E+00,-5.31100E-01,-1.81400E-01,0,
 3.700000000E+00,-5.31100E-01,-1.81500E-01,0,
 3.800000000E+00,-5.31200E-01,-2.17600E-01,0,
 3.900000000E+00,-5.31300E-01,-2.17600E-01,0,
 4.000000000E+00,-5.31300E-01,-2.17700E-01,0,
 4.100000000E+00,-5.31100E-01,-2.17600E-01,0,
 4.200000000E+00,-5.31200E-01,-2.17600E-01,0,
 4.300000000E+00,-5.31300E-01,-2.17600E-01,0,
 4.400000000E+00,-5.31300E-01,-2.17700E-01,0,
 4.500000000E+00,-5.31300E-01,-2.17700E-01,0,
 4.600000000E+00,-5.42100E-01,-2.17700E-01,0,
 4.700000000E+00,-5.42200E-01,-2.17700E-01,0,
 4.800000000E+00,-5.42100E-01,-2.17700E-01,0,
 4.900000000E+00,-5.42100E-01,-2.51600E-01,0,
 5.000000000E+00,-5.42000E-01,-2.51600E-01,0,
 5.100000000E+00,-5.42000E-01,-2.51600E-01,0,
 5.200000000E+00,-5.41900E-01,-2.51600E-01,0,
 5.300000000E+00,-5.41800E-01,-2.51600E-01,0,
 5.400000000E+00,-5.41700E-01,-2.51600E-01,0,
 5.500000000E+00,-5.41600E-01,-2.51700E-01,0,
 5.600000000E+00,-5.41400E-01,-2.51700E-01,0,
 5.700000000E+00,-5.41600E-01,-2.51800E-01,0,
 5.800000000E+00,-5.41700E-01,-2.51700E-01,0,
 5.900000000E+00,-5.41600E-01,-2.51800E-01,0,
 6.000000000E+00,-5.41600E-01,-2.51800E-01,0,
 6.100000000E+00,-5.41500E-01,-2.91900E-01,0,
 6.200000000E+00,-5.41500E-01,-2.92000E-01,0,
 6.300000000E+00,-5.41400E-01,-2.92100E-01,0,
 6.400000000E+00,-5.41300E-01,-2.92100E-01,0,
 6.500000000E+00,-5.41300E-01,-2.92100E-01,0,
 6.600000000E+00,-5.41200E-01,-2.92100E-01,0,
 6.700000000E+00,-5.41300E-01,-2.92100E-01,0,
 6.800000000E+00,-5.41200E-01,-2.92100E-01,0,
 6.900000000E+00,-5.40700E-01,-2.92100E-01,0,
 7.000000000E+00,-5.40700E-01,-2.92100E-01,0,
 7.100000000E+00,-5.40600E-01,-2.92100E-01,0,
 7.200000000E+00,-5.40600E-01,-3.00200E-01,0,
 7.300000000E+00,-5.40600E-01,-3.00200E-01,0,
 7.400000000E+00,-5.40600E-01,-3.00300E-01,0,
